eps,mu,width,length,time_series_0,time_series_1,time_series_2,time_series_3,time_series_4,time_series_5,time_series_6,time_series_7,time_series_8,time_series_9,time_series_10,time_series_11,time_series_12,time_series_13,time_series_14,time_series_15,time_series_16,time_series_17,time_series_18,time_series_19
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017950391814249355,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03137146309026146,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029136130042796606,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03145654279675101,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03527858944687208,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03429015789957802,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035638459590698224,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03482632869174851,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031770354313719947,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031607845893193154,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02907035967473421,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.631359151107291e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025154812893122193,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.116389766286708e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022907371004829175,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.291039122403793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01859406981589095,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015244680478457498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014492734430385852,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000490203262867343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011229482160194038,0.0,0.0
